73625,1,1,Chevrolet Bolt,2017,Available
82634,1,1,Honda Civic,2016,Available
72635,1,1,Kia Soul,2016,Available
12543,2,1,Volkswagen GTI,2015,Available
43276,2,1,Hyundai Elantra,2017,Available
87623,3,1,Toyota Prius,2017,Available
98798,1,2,Toyota Camry,2016,Available
66887,1,2,Honda Accord,2015,Available
11222,2,2,Chevrolet Malibu,2016,Available
43245,2,2,Hyundai Sonata,2014,Available
73641,3,2,Kia Optima,2015,Available
83942,3,2,Mazda Mazda6,2016,Available
33276,3,2,Ford Fusion Hybrid,2017,Available
34212,3,2,Subaru Legacy,2014,Available
88372,1,3,Toyota Avalon,2016,Available
33887,1,3,Nissan Maxima,2015,Available
11823,1,3,Kia Cadenza,2017,Available
82934,2,3,Chevrolet Impala,2017,Available
22983,2,3,Chrysler 300,2016,Available
55446,2,3,Dodge Charger,2014,Available
33657,3,3,Ford Taurus,2016,Available
11898,3,3,Hyundai Azera,2018,Available
60098,1,4,Volkswagen Atlas,2017,Available
55443,1,4,Buick Enclave,2014,Available
90098,1,4,Kia Sorento,2014,Available
99001,2,4,Chevrolet Traverse,2015,Available
44665,2,4,Nissan Murano,2016,Available
22435,3,4,Toyota Highlander,2014,Available
65346,3,4,Mazda CX-9,2016,Available
98478,3,4,Honda Pilot,2015,Available
83765,1,5,Chevrolet Colorado,2016,Available
20034,1,5,Chevrolet Silverado,2018,Available
40294,1,5,Ford F-150,2015,Available
23840,1,5,Ford Raptor,2015,Available
74620,2,5,GMC Canyon,2016,Available
83940,2,5,RAM 3500,2015,Available
90827,3,5,Nissan Titan,2014,Available
65840,1,6,Chrysler Pacifica,2016,Available
27648,1,6,Ford Transit Connect,2018,Available
60707,1,6,Ford Transit-150,2016,Available
66778,2,6,Honda Odyssey,2017,Available
52564,2,6,RAM ProMaster,2013,Available
57382,2,6,Dodge Grand Caravan,2016,Available
23432,3,6,Ford Pronto,2017,Available
90909,3,6,Renault Dokker,2017,Available
60606,3,6,GMC Safari,2016,Available
